module,type,name,res_id,src,value,comments
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                    Start date:","<br/>
                                    Start date:",
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                    duration:","<br/>
                                    duration:",
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_active,Active,Activo,
openacademy,model,"ir.actions.act_window,name",openacademy.launch_session_wizard,Add Attendees,Añadir asitentes,
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,Add Attendees,Añadir asistentes,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_attendee_ids,Attendees,Asistentes,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_attendee_ids,Attendees,Asistentes,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_attendees_count,Attendees count,Contador de asistentes,
openacademy,model,"ir.ui.view,arch_db",openacademy.report_session_view,Attendees:,Asistentes:,
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,Cancel,Cancelar,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_color,Color,Color,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_course_id,Course,Curso,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Course Form,Formulario de curso,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_tree_view,Course Tree,Arbol de cursos,
openacademy,model,"ir.actions.act_window,name",openacademy.course_list_action,Courses,Cursos,
openacademy,model,"ir.ui.menu,name",openacademy.courses_menu,Courses,Cursos,
openacademy,model,"ir.actions.act_window,help",openacademy.course_list_action,Create the first course,Crear el primer curso,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_create_uid,Created by,Creado por,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_create_uid,Created by,Creado por,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_create_uid,Created by,Creado por,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_create_date,Created on,Creado en,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_create_date,Created on,Creado en,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_create_date,Created on,Creado en,
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Delete,Suprimir,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_description,Description,Descripción,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Description,Descripción,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_display_name,Display Name,Nombre mostrado,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_display_name,Display Name,Nombre mostrado,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_display_name,Display Name,Nombre mostrado,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_duration,Duration,Duracion,
openacademy,model,"ir.model.fields,help",openacademy.field_openacademy_session_duration,Duration in days,Duracion en dias,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_hours,Duration in hours,Duracion en horas,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_end_date,End Date,Fecha final,
openacademy,model,"ir.ui.view,arch_db",openacademy.report_session_view,From,De,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,General,General,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_search_view,Group By,Agrupar por,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_id,ID,ID (identificación),
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_id,ID,ID (identificación),
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_id,ID,ID (identificación),
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_instructor_id,Instructor,Instructor,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course___last_update,Last Modified on,Última modificación en,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session___last_update,Last Modified on,Última modificación en,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard___last_update,Last Modified on,Última modificación en,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_write_uid,Last Updated by,Última actualización de,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_write_uid,Last Updated by,Última actualización de,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_write_uid,Last Updated by,Última actualización de,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_write_date,Last Updated on,Última actualización en,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_write_date,Last Updated on,Última actualización en,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_write_date,Last Updated on,Última actualización en,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_search_view,My Courses,Mis cursos,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_name,Name,Nombre,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_seats,Number of seats,Numero de asientos,
openacademy,model,"ir.ui.menu,name",openacademy.main_openacademy_menu,Open Academy,Open Academy,
openacademy,model,"ir.ui.menu,name",openacademy.openacademy_menu,Open Academy,Open Academy,
openacademy,model,"res.groups,name",openacademy.group_manager,OpenAcademy / Manager,OpenAcademy / Manager,
openacademy,model,"ir.ui.view,arch_db",openacademy.openacademy_session_graph_view,Participations by Courses,Participaciones por curso,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Registered sessions,Sesiones registradas,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_responsible_id,Responsible,Responsable,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_search_view,Responsible,Responsable,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,Schedule,Horario,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_calendar_view,Session Calendar,Calendario de sesion,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,Session Form,Formulario de sesion,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_gantt_view,Session Gantt,Cronograma de sesion,
openacademy,model,"ir.actions.report,name",openacademy.report_session,Session Report,Reportes de sesiones,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_tree_view,Session Tree,Arbol de sesiones,
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Session name:,Nombre de la sesion:,
openacademy,model,"ir.actions.act_window,name",openacademy.session_list_action,Sessions,Sesiones,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_session_ids,Sessions,Sesiones,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_session_ids,Sessions,Sesiones,
